 0.02538728   0.
 0.07616185    0.
 0.12693641    0.
 0.17771098    0.
 0.22848554    0.
 0.27926011    0.
 0.33003467    0.
 0.38080924    0.
 0.43158380    0.
 0.48235837    0.
 0.53313293    0.
 0.58390750    0.
 0.63468206    0.
 0.68545663    0.
 0.73623119    0.
 0.78700576    0.
 0.83778032    0.
 0.88855489     0.
 0.93932945    0.
 0.99010402    0.
 1.04087858    1.63495
 1.09165314    1.53777
 1.14242771    1.44838
 1.19320227    1.36684
 1.24397684    1.29309
 1.29475140    1.22702
 1.34552597     1.16843
 1.39630053    1.11714
 1.44707510    1.07288
 1.49784966    1.03541
 1.54862423    1.00445
 1.59939879    0.979728
 1.65017336    0.960975
 1.70094792     0.94792
 1.75172249    0.940303
 1.80249705    0.937875
 1.85327162    0.940401
 1.90404618    0.947661
 1.95482075    0.959449
 2.00559531    0.975525
 2.05636988     0.990456
 2.10714444    1.00124
 2.15791901    1.00854
 2.20869357    1.013
 2.25946814    1.01518
 2.31024270    1.01558
 2.36101727    1.01468
 2.41179183     1.01288
 2.46256640    1.01051
 2.51334096    1.00787
 2.56411553    1.0052
 2.61489009    1.00269
 2.66566466    1.00048
 2.71643922    0.998683
 2.76721379     0.997348
 2.81798835    0.996498
 2.86876292    0.996118
 2.91953748    0.99616
 2.97031205    0.996546
 3.02108661    0.99717
 3.07186118    0.997907
 3.12263574     0.998657
 3.17341030    0.999347
 3.22418487    0.999933
 3.27495943    1.00039
 3.32573400    1.00071
 3.37650856    1.00091
 3.42728313    1.00098
 3.47805769     1.00096
 3.52883226    1.00087
 3.57960682    1.00072
 3.63038139    1.00055
 3.68115595    1.00036
 3.73193052    1.00019
 3.78270508    1.00003
 3.83347965     0.999908
 3.88425421    0.999817
 3.93502878    0.999761
 3.98580334    0.999738
 4.03657791    0.999742
 4.08735247    0.999767
 4.13812704    0.999806
 4.18890160     0.999853
 4.23967617    0.999903
 4.29045073    0.99995
 4.34122530    0.999991
 4.39199986    1.00002
 4.44277443    1.00005
 4.49354899    1.00006
 4.54432356     1.00007
 4.59509812    1.00007
 4.64587269    1.00006
 4.69664725    1.00005
 4.74742182    1.00004
 4.79819638    1.00003
 4.84897095    1.00001
 4.89974551    1.
 4.95052008     0.999994
 5.00129464    0.999987
 5.05206921    0.999983
